code;nom;terrain
LGP;Labourpierre;plain
LVA;Labourval;plain
LUP;Lieupré;plain
MBL;Moissonblanche;plain
MCP;Moissoncourt;plain
MFO;Moissonfort;plain
MPN;Moissonneuve;plain
MVP;Moissonval;plain
MOU;Moulinpré;plain
ORE;Orgeval;plain
PBC;Préblanc;plain
PCH;Préchamp;plain
PGR;Prégrand;plain
PLI;Préligne;plain
PMU;Prémoulin;plain
PNF;Prèneuf;plain
PPR;Prépierre;plain
PRT;Prérond;plain
PSE;Préserein;plain
PRA;Préal;plain
RBL;Récolteblanche;plain
RCP;Récoltecourt;plain
RFO;Récoltefort;plain
RVA;Récolteval;plain
SIL;Silloncourt;plain
SFL;Sillonfort;plain
SVL;Sillonval;plain
TBL;Terreblanche;plain
TCH;Terrechamp;plain
TCO;Terrecourt;plain
TFO;Terrefort;plain
TLP;Terrelongue;plain
TPR;Terrepierre;plain
TVA;Terreval;plain
VCP;Vergercourt;plain
VFL;Vergerfort;plain
VLP;Vergerlong;plain
VGP;Vergerpierre;plain
VGV;Vergerval;plain
AVO;Avoineval;plain
AVC;Avoinecourt;plain
CHV;Chênevaux;forest
CNR;Chêneraie;forest
HTV;Hêtrevaux;forest
BCP;Boischamp;forest
CHM;Charmoy;forest
FTR;Forterre;forest
BRC;Boisroux;forest
BSA;Boissaules;forest
BTA;Boistaillis;forest
BCR;Boiscreux;forest
BDM;Boisdemont;forest
BFE;Boisfeu;forest
BGL;Boisglaise;forest
BHT;Boishaut;forest
BNO;Boisnoir;forest
BOC;Boiscendre;forest
BRS;Boisrieux;forest
BTS;Boistremble;forest
BUV;Buisval;forest
CED;Cédrière;forest
CHB;Chêneblanc;forest
CHC;Chênecourt;forest
CHF;Chênefort;forest
CHL;Chênelong;forest
CNP;Chênepierre;forest
CHR;Chênerond;forest
CHS;Chêneserein;forest
CHT;Chênevert;forest
COR;Cormierbois;forest
CRM;Cormeraie;forest
ECV;Écorcevaux;forest
FBL;Futaieblanche;forest
FCP;Futaiecourt;forest
FDT;Futaiedor;forest
FFL;Futaiefort;forest
FLP;Futaielong;forest
FPR;Futaiepierre;forest
FVL;Futaieval;forest
FGR;Fougères;forest
FRN;Frênaie;forest
FSV;Frêneval;forest
GBO;Grandbois;forest
GNV;Genévrier;forest
HBL;Hêtreblanc;forest
HCL;Hêtreclair;forest
HFO;Hêtrefort;forest
HLP;Hêtrelong;forest
HPI;Hêtrepierre;forest
HVE;Hêtrevert;forest
HOU;Houxval;forest
IFV;Ifvaux;forest
JAR;Jardebois;forest
LBR;Lisièrebrune;forest
LCB;Lisièreclaire;forest
LFO;Lisièrefort;forest
LVE;Lisièreverte;forest
MRA;Mousseraie;forest
NBL;Noirbois;forest
ORM;Ormaie;forest
RBA;Ramebois;forest
RCE;Ronceraie;forest
SBO;Sousbois;forest
SVB;Sylvebois;forest
SVC;Sylveclaire;forest
SVF;Sylvefort;forest
SVM;Sylvemont;forest
SVP;Sylvepierre;forest
SVT;Sylveverte;forest
TBR;Taillisbrun;forest
TCL;Taillisclair;forest
BRU;Bruyères;hill
PYV;Puyvert;hill
CTL;Cotelard;hill
CSB;Costebelle;hill
CTG;Côtegrise;hill
CTM;Côtemont;hill
CTB;Côtebrune;hill
CTV;Côteval;hill
ECP;Escarpelle;hill
HTC;Hautecôte;hill
LDG;Landegrise;hill
LDV;Landeval;hill
PYC;Puyclair;hill
PCT;Puycourt;hill
PYF;Puyfort;hill
PYL;Puylong;hill
PYM;Puymont;hill
PYP;Puypierre;hill
PYR;Puyrond;hill
RVC;Ravinclair;hill
RVT;Ravincourt;hill
RVF;Ravinfort;hill
RVN;Ravinval;hill
TTC;Tertreclair;hill
TTF;Tertrefort;hill
TTV;Tertreval;hill
MDO;Mont-Dore;mountain
MSR;Montsoreau;mountain
MPD;Montperdu;mountain
RML;Rochemaille;mountain
CMB;Cimebelle;mountain
PIC;Piclong;mountain
CIM;Cimeclaire;mountain
CIF;Cimefort;mountain
CIL;Cimelong;mountain
CIP;Cimepierre;mountain
CIR;Cimerond;mountain
CIV;Cimeval;mountain
COL;Colbrun;mountain
COC;Colclair;mountain
COF;Colfort;mountain
CLG;Collelong;mountain
CLM;Colmont;mountain
COP;Colpierre;mountain
CRO;Colroche;mountain
COV;Colval;mountain
CRE;Crêteblanche;mountain
CRC;Crêteclair;mountain
CRF;Crêtefort;mountain
CRL;Crêtelong;mountain
CRP;Crêtepierre;mountain
CRR;Crêteronde;mountain
CRV;Crêteval;mountain
GPM;Grandpic;mountain
HPT;Hautpic;mountain
MAL;Mont-Aigle;mountain
MDB;Montblanc;mountain
MDC;Montcime;mountain
MDE;Montdieu;mountain
MDL;Montdroit;mountain
MDS;Montserein;mountain
MDU;Montsurlac;mountain
MGR;Montgrès;mountain
MPL;Montplaisant;mountain
MPR;Montprun;mountain
MRB;Mont-Rouge;mountain
MSB;Montsable;mountain
MSL;Montsel;mountain
MTO;Mont-Tour;mountain
FOU;Fougères-du-Marais;swamp
MRC;Maraisclair;swamp
FAV;Fangeval;swamp
BRL;Bourbelong;swamp
LSA;Les Saules;swamp
TRB;Tourbeval;swamp
JNC;Jonclaire;swamp
RSV;Roseauval;swamp
BRD;Bourbedor;swamp
BRI;Bourberive;swamp
BSC;Bourbesac;swamp
BVT;Bourbevert;swamp
DSV;Drosèreval;swamp
ETR;Étangrond;swamp
ETV;Étangvert;swamp
FAL;Fangeclair;swamp
FBR;Fangebrune;swamp
FGC;Fangecourt;swamp
FGF;Fangefort;swamp
FGM;Fangemont;swamp
FNR;Fangerond;swamp
FNG;Fangelong;swamp
FNP;Fangepierre;swamp
FSE;Fangeserein;swamp
FGV;Fangeverte;swamp
FLV;Flacheval;swamp
FDM;Fondmarais;swamp
GLE;Glaiseval;swamp
JBR;Joncbrun;swamp
JCV;Joncvaux;swamp
JFO;Joncfort;swamp
JVL;Joncval;swamp
MAA;Mareaux;swamp
MAC;Mareclair;swamp
MAF;Marefort;swamp
MAR;Marelong;swamp
MRP;Marepierre;swamp
MRS;Marerond;swamp
MAV;Mareval;swamp
MRT;Marécourt;swamp
MSF;Maraisfort;swamp
MNG;Maraisneuf;swamp
MSP;Maraispierre;swamp
MRY;Maraisroyal;swamp
MSV;Maraisvert;swamp
NPV;Nénupharval;swamp
OSV;Osierval;swamp
SAL;Saulaie;swamp
SPH;Sphaigneval;swamp
VAS;Vasecourt;swamp
